Placement_ID|placement_name|alpha|beta|max_x_val|max_y_val|recommended_weekly_spend|calc_type|n
152556786|BAN_PANDORA_DIS_MOB_300X250_300X250_DCM_OV_MOS_DEMO_NONE_NONE_NONE_NTL_NONE_M3554HTTF|1390.47926082|0.00209013926987|1991.88|1349.0|115.73|0|6
153231314|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554ENT|984.021103542|0.0033339352832|803.98|980.0|107.81|0|8
206824017|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554ETATBAN(PKGS1H)|3434.8116037|0.000709419363529|4051.17|3349.0|92.98|0|7
153231309|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554HHI|627.602687834|0.00613502481241|558.45|615.0|86.37|0|6
153228967|BAN_PANDORA_DIS_MOB_300X250_300X250_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_M3554HHI|861.555942431|0.00349532805451|866.6|804.0|79.14|0|8
202240501|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOL_CXL_NONE_APURL_NONE_NTL_NONE_RESPONSIVEDISPLAYENTERTAINF3554|2367.97473415|0.00104583593249|2763.71|2365.0|78.35|0|6
206763953|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554HHIBAN(PKGS1Z)|555.900305593|0.00675141900884|715.68|554.0|73.2|0|4
213282298|BAN_CNET_DIS_MBW_320X50_320X50_DCM_OV_PSBG_BEH_NONE_PERS_NONE_NTL_NONE_HIGHTOUCHTECHFAN(PMPDB6)|1204.99496229|0.00222437674684|2201.77|1196.0|72.62|0|7
153229921|CSK_CBSSPORTS_DIS_DSK_1X1_1600X1000_DCM_OV_JOL_BEH_NONE_PERS_NONE_NTL_NONE_EVENTDOMALLSPORTSHTTF125|924.0|0.00308049794795|1738.5|770.0|71.74|2|9
206824005|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554ETATBAN(PKGS20)|483.461197702|0.00707264838966|712.66|477.0|56.37|0|4
206824002|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554HEESTVACGSMPB(PKGS21)|523.543300594|0.00607440777307|713.6|522.0|55.47|0|5
153231311|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554ENT|586.0|0.00510704211359|550.72|586.0|51.73|1|6
153229652|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYF3554HTTF|553.0|0.00512281980774|554.43|553.0|42.06|1|6
153231310|BAN_PANDORA_DIS_MOB_300X250_300X250_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_F3554HHI|449.753438416|0.00601565069875|562.08|446.0|29.98|0|6
